t_enc,alpha_grd,timestamp,dataset,k,alpha,tau,thresh,thresh_silent,thresh_silent_chirp,guard_cells,ref_cells,monotonicity_thresh,t_monotonicity,detection_area,recall,precision,f_score,recall_ext,precision_ext,f_score_ext,iou_score_ext,inactive_percentage
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,100,1,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.2891449494146935,0.4860029662588058,0.36257673778123267,0.3163297853218025,0.5551303757421672,0.4030115854170025,0.311415152453691,98.21152832128337
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,100,4,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.33013798400339045,0.5478587319243603,0.4120037625084395,0.365656353501355,0.6321600547518258,0.46331837444494295,0.35853248506259744,95.24741931057507
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,100,7,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.35614969013189285,0.5795847237671489,0.4411912493605551,0.3982912043344138,0.6740552256746756,0.500715547896249,0.3890511317624695,92.69080830121203
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,100,10,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.37861181736320865,0.6016073414905458,0.46474432685730793,0.42666175305924325,0.7042681450028703,0.5313932883525838,0.4151694860925851,90.28344215446138
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,100,13,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.39843490121298997,0.6188338895068608,0.4847588355377447,0.45143869499473654,0.7286988975255131,0.5574991910104421,0.43794889389351804,87.96530598548381
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,100,16,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.41711200275438565,0.633096032628849,0.5028945555436338,0.4738139192337379,0.7476741119154036,0.5800439944429836,0.4582036689843784,85.70265968370748
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,100,19,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.43453533026113916,0.642790137189472,0.518534148497449,0.49461869463434693,0.7618369725356883,0.5998123383524502,0.4766109702473925,83.4801817994466
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,100,22,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.45085558027438155,0.6498535409714525,0.5323660665491635,0.5148047831685597,0.7748032762416618,0.6185948150995912,0.49417950090159424,81.29002833986222
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,100,25,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.4663877853699896,0.6545765135865275,0.5446854785430492,0.5335197417337566,0.7850235067403654,0.6352852451056199,0.5101436780028076,79.12450471755636
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,100,28,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.4815997934212619,0.6563207797023183,0.5555465936912238,0.5510802717627067,0.7911433557881149,0.6496435963630034,0.5243744485502834,76.97933257384449
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,100,31,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.49538601091159384,0.6586870332115088,0.5654829920100286,0.5673325710741524,0.7977231052957362,0.6630854768075051,0.5373119476203172,74.85141827766137
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,100,34,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.5095242067906126,0.6573513780744077,0.5740739475056428,0.5830091348292685,0.8007893143851734,0.6747622563841494,0.5492775217390674,72.73807507684752
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,100,37,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.5229422903755473,0.6558445450853724,0.5819013842203993,0.5982391112830621,0.8041877396603442,0.6860914776767858,0.5608159978732395,70.63753272658383
